기간,대분류,분류,대중교통 이용만족도,버스,지하철,택시
2014,중랑구,중랑구,6.45,6.91,6.71,5.7
2014,성북구,성북구,6.64,6.99,7.08,5.86
2014,강북구,강북구,6.75,7.19,7.24,5.84
2014,도봉구,도봉구,6.22,6.22,6.76,5.67
2014,노원구,노원구,6.54,6.83,7.03,5.79
2014,은평구,은평구,6.38,6.57,6.73,5.84
2014,서대문구,서대문구,6.16,6.18,6.46,5.74
2014,마포구,마포구,6.02,6.38,6.47,5.21
2014,양천구,양천구,6.77,7.16,6.56,6.61
2014,강서구,강서구,5.96,6.33,6.56,5.06
2014,구로구,구로구,6.14,6.33,6.62,5.47
2014,금천구,금천구,6.42,6.85,7.14,5.21
2014,영등포구,영등포구,6.76,6.96,7.27,6.11
2014,동작구,동작구,6.56,6.47,7.05,6.12
2014,관악구,관악구,6.36,6.84,7.16,5.04
2014,서초구,서초구,6.53,7.05,7,5.54
2014,강남구,강남구,6.98,7.34,7.3,6.38
2014,송파구,송파구,6.35,6.68,7.01,5.37
2014,강동구,강동구,7,7.18,7.32,6.51
2015,서울시,서울시,6.59,6.88,7.01,5.88
2015,성별,남자,6.61,6.89,7.04,5.89
2015,성별,여자,6.58,6.88,6.99,5.87
2015,연령별,10대,6.59,6.91,6.95,5.89
2015,연령별,20대,6.54,6.8,6.98,5.85
2015,연령별,30대,6.61,6.93,7.02,5.87
2015,연령별,40대,6.59,6.93,7,5.85
2015,연령별,50대,6.59,6.88,6.99,5.89
2015,연령별,60대 이상,6.63,6.85,7.08,5.93
2015,학력별,중졸 이하,6.58,6.87,6.95,5.91
2015,학력별,고졸 이하,6.61,6.93,7.04,5.84
2015,학력별,대졸 이하,6.58,6.85,7.01,5.89
2015,학력별,대학원 이상,6.75,6.92,7.13,6.27
2015,소득별,100 만원 미만,…,…,…,…
2015,소득별,100-200만 미만,…,…,…,…
2015,소득별,200-300만 미만,…,…,…,…
2015,소득별,300-400만 미만,…,…,…,…
2015,소득별,400-500만 미만,…,…,…,…
2015,소득별,500만 이상,…,…,…,…
2015,혼인상태별,기혼,…,…,…,…
2015,혼인상태별,미혼,…,…,…,…
2015,혼인상태별,이혼/별거,…,…,…,…
2015,혼인상태별,사별,…,…,…,…
2015,지역대분류,도심권,6.55,6.87,7.07,5.69
2015,지역대분류,동북권,6.57,6.87,7,5.82
2015,지역대분류,서북권,6.34,6.43,6.74,5.84
2015,지역대분류,서남권,6.6,6.89,7.07,5.84
2015,지역대분류,동남권,6.78,7.14,7.09,6.11
2015,종로구,종로구,6.68,7.1,7.11,5.82
2015,중구,중구,6.55,6.88,6.91,5.86
2015,용산구,용산구,6.46,6.72,7.13,5.51
2015,성동구,성동구,6.24,7.09,6.82,4.85
2015,광진구,광진구,6.61,7.04,7.09,5.67
2015,동대문구,동대문구,6.45,6.76,7.08,5.53
2015,중랑구,중랑구,6.38,6.66,6.77,5.7
2015,성북구,성북구,6.92,7.11,7.34,6.29
2015,강북구,강북구,6.75,7.04,7.14,6.08
2015,도봉구,도봉구,6.21,6.2,6.51,5.91
2015,노원구,노원구,6.74,7.02,7.11,6.09
2015,은평구,은평구,6.71,6.69,7.14,6.29
2015,서대문구,서대문구,6.07,6.1,6.36,5.75
2015,마포구,마포구,6.08,6.36,6.54,5.33
2015,양천구,양천구,6.86,7.24,6.87,6.45
2015,강서구,강서구,6.3,6.51,6.86,5.53
2015,구로구,구로구,6.88,7.16,7.57,5.91
2015,금천구,금천구,6.81,6.98,7.41,6.01
2015,영등포구,영등포구,6.66,7.02,7.16,5.8
2015,동작구,동작구,6.5,6.85,7.01,5.64
2015,관악구,관악구,6.43,6.66,6.94,5.68
2015,서초구,서초구,6.7,7.01,6.96,6.13
2015,강남구,강남구,6.83,7.12,7.28,6.08
2015,송파구,송파구,6.83,7.27,7.02,6.17
2015,강동구,강동구,6.72,7.11,7.04,6.03
